district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,rank
강북구,주거/서민/교육,기타/미분류,7,1319443100.0,188491871.42857143,2026-04-21 09:35:34,0.05504587155963303,0.003685846161803942,0.9375,21.61,제외,9.9,3
강북구,주거/서민/교육,IT장비/전산,10,1682985000.0,168298500.0,2026-04-17 16:43:12,0.08256880733944955,0.004714316790343523,0.8571428571428571,21.41,추천,10.3,4
강북구,주거/서민/교육,청소/환경미화,2,400000000.0,200000000.0,2026-04-17 10:39:53,0.009174311926605505,0.0010847148397654623,0.8333333333333334,17.16,데이터부족,15.5,5
강서구,공항/산업단지/주거,폐기물/환경,95,292597122340.0,3079969708.8421054,2026-04-20 17:27:13,0.8623853211009175,0.8277188884260196,0.9375,86.7,제외,9.0,1
강서구,공항/산업단지/주거,시설유지보수,44,4979664888.0,113174202.0,2026-04-20 17:00:47,0.3944954128440367,0.014040720257193301,0.9375,38.9,추천,6.3,2
강서구,공항/산업단지/주거,기타/미분류,17,2193049180.0,129002892.94117647,2026-04-14 16:35:15,0.14678899082568808,0.006157303218593268,0.7894736842105263,23.31,제외,6.8,3
강서구,공항/산업단지/주거,건설/공사,29,25208821018.0,869269690.2758621,2026-01-14 13:04:13,0.25688073394495414,0.07126959241703627,0.234375,19.67,제외,9.7,4
강서구,공항/산업단지/주거,조경/녹지관리,6,652873720.0,108812286.66666667,2026-04-09 13:59:23,0.045871559633027525,0.0018001019622664507,0.6976744186046512,16.3,데이터부족,6.0,5
관악구,청년/자취생/대학가,시설유지보수,26,6848272720.0,263395104.6153846,2026-04-22 11:12:54,0.22935779816513763,0.019327066264272604,1.0,32.05,추천,11.1,1
관악구,청년/자취생/대학가,폐기물/환경,37,142663433680.0,3855768477.8378377,2024-11-25 18:15:48,0.3302752293577982,0.40355211420987547,0.055248618784530384,29.73,제외,9.0,2
관악구,청년/자취생/대학가,IT장비/전산,11,2613370500.0,237579136.36363637,2026-03-16 13:58:16,0.09174311926605505,0.00734640448083838,0.44776119402985076,13.76,추천,11.9,3
관악구,청년/자취생/대학가,조경/녹지관리,2,450020000.0,225010000.0,2026-03-23 18:11:45,0.009174311926605505,0.0012262228773246813,0.5,10.5,데이터부족,7.5,4
관악구,청년/자취생/대학가,행사/운영용역,18,3381849000.0,187880500.0,2024-12-18 17:49:53,0.1559633027522936,0.009520452550439585,0.057692307692307696,9.24,추천,12.4,5
광진구,대학/강변/상업,폐기물/환경,24,16888331000.0,703680458.3333334,2026-03-18 14:58:32,0.21100917431192662,0.047730683700957684,0.46153846153846145,21.21,제외,5.3,1
광진구,대학/강변/상업,행사/운영용역,22,6897205800.0,313509354.54545456,2026-03-24 06:19:48,0.1926605504587156,0.019465499373479488,0.5,20.22,추천,17.0,2
광진구,대학/강변/상업,IT장비/전산,18,7166276170.0,398126453.8888889,2026-03-30 14:29:54,0.1559633027522936,0.020226707290793223,0.5660377358490566,19.73,추천,10.2,3
광진구,대학/강변/상업,건설/공사,6,8343595574.0,1390599262.3333333,2026-03-31 16:48:19,0.045871559633027525,0.02355737819124163,0.5769230769230769,14.54,제외,13.8,4
광진구,대학/강변/상업,교육물품/교구,3,342366000.0,114122000.0,2026-03-30 14:29:21,0.01834862385321101,0.0009216665743378729,0.5660377358490566,12.27,데이터부족,11.0,5
구로구,산업/디지털/제조,시설유지보수,13,36296000520.0,2792000040.0,2026-04-09 16:10:55,0.11009174311926606,0.10263554630337812,0.6976744186046512,22.54,추천,12.6,1
구로구,산업/디지털/제조,IT장비/전산,9,3085648100.0,342849788.8888889,2026-04-20 09:46:05,0.07339449541284404,0.008682491573184998,0.9090909090909091,22.11,데이터부족,11.1,2
구로구,산업/디지털/제조,폐기물/환경,22,130896971140.0,5949862324.545455,2024-12-19 17:31:37,0.1926605504587156,0.3702644488150441,0.057803468208092484,21.9,제외,6.5,3
구로구,산업/디지털/제조,조경/녹지관리,1,98824000.0,98824000.0,2026-04-20 13:25:35,0.0,0.00023267915963880617,0.9375,18.76,데이터부족,29.0,4
구로구,산업/디지털/제조,행사/운영용역,11,1981443800.0,180131254.54545453,2025-10-22 17:32:31,0.09174311926605505,0.005558665432492252,0.14150943396226415,7.58,추천,14.5,5
금천구,제조/산업단지/중소기업,보험/금융,8,1903061300.0,237882662.5,2026-04-20 17:40:16,0.06422018348623854,0.005336919055963154,0.9375,22.12,데이터부족,6.4,1
금천구,제조/산업단지/중소기업,전문용역/컨설팅,8,1927700000.0,240962500.0,2026-04-16 20:46:38,0.06422018348623854,0.005406622656223257,0.8333333333333334,20.04,데이터부족,9.5,2
금천구,제조/산업단지/중소기업,기타/미분류,12,2373600000.0,197800000.0,2026-03-19 07:31:37,0.10091743119266056,0.0066680867495390456,0.46153846153846145,14.48,제외,15.0,3
금천구,제조/산업단지/중소기업,시설유지보수,7,2936424000.0,419489142.85714287,2026-03-23 17:59:18,0.05504587155963303,0.008260332245965073,0.5,13.0,데이터부족,18.1,4
금천구,제조/산업단지/중소기업,조경/녹지관리,6,1450750000.0,241791666.66666666,2026-03-23 16:52:57,0.045871559633027525,0.004057317208125106,0.5,12.42,데이터부족,27.7,5
노원구,주거/교육/대학,시설유지보수,7,6564710000.0,937815714.2857143,2026-04-22 13:17:33,0.05504587155963303,0.018524859066508626,1.0,23.31,데이터부족,10.3,1
